match_id,stage_label,blue_total_gold,red_total_gold,gold_diff,blue_total_kills,red_total_kills,kill_diff,blue_total_deaths,red_total_deaths,death_diff,blue_tower_kills,red_tower_kills,tower_diff,blue_dragon_kills,red_dragon_kills,dragon_diff,blue_herald_kills,red_herald_kills,herald_diff,blue_baron_kills,red_baron_kills,baron_diff,blue_inhibitor_kills,red_inhibitor_kills,inhibitor_diff,blue_avg_level,red_avg_level,avg_level_diff,blue_minions_killed,red_minions_killed,minion_diff,blue_jungle_minions_killed,red_jungle_minions_killed,jungle_diff,elapsed_time_seconds,elapsed_time_ratio,first_blood_blue,first_tower_blue,blue_win,split
NA1_5495806903,stage_60,-0.8886669835912495,1.1188182508729296,-1.2411952086235145,-1.5607747291750504,0.7715879999914476,-1.4174548660425172,0.7614707006551402,-1.5751937071800715,1.419027397677981,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.9658520061326984,-0.8634766583681343,1.3850357147562853,0.38728613081221835,0.7413727553713035,-0.1827703400436986,1.3648668838510618,-1.194087106145968,-0.25516115459331273,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5497264907,stage_60,0.8409896339950432,-0.8207220815668548,1.0303957627589704,0.8042767737075515,-0.95467667795552,1.0487671328715287,-0.6703545484399952,0.7995907143046048,-0.8833102940769874,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,0.3714105958082114,-0.4666475984686092,0.676779002504754,0.11044075634004394,1.282793132446564,-0.9010948076423257,-0.276280746577684,0.21550529745016764,-0.38351465260508655,1.1903870173516462,0.0,0.9555330859059092,-0.08737040566610381,1,test
NA1_5498712644,stage_60,1.8661924424733949,-0.9854750682122964,1.780251349282593,2.118194275308997,-0.95467667795552,1.8708411325095438,-0.9567195982590223,2.118915392907203,-1.8700264476862596,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,1.3233756180739233,-0.9441474666690429,1.83197074815942,0.9468936978007023,-1.0922471762358312,1.5476750135779942,0.09776087955825757,-0.1676152313501304,0.2059925863337364,-0.038328928801568886,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5499762611,stage_60,-0.10931746904656289,2.1402867680746676,-1.365769656682969,-0.24685722757360493,2.2101418982805874,-1.4174548660425172,2.1932959497502758,-0.25586902857747357,1.419027397677981,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-1.0565369375903546,0.01085226973182669,-0.8634766583681343,-1.0446609247246748,1.127052784336243,-1.6476709726485208,-1.2113848119175379,-0.9338562889507265,-0.23613784287038078,-0.11060633739881683,0.0,-1.0465362369445672,-0.08737040566610381,0,test
NA1_5500058277,stage_60,0.12188231730165196,-0.20943168973756124,0.20414369151380354,0.5414932733872624,-0.95467667795552,0.8843523329439256,-0.9567195982590223,0.5357257785840852,-0.8833102940769874,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.48835213793226256,-0.09334882793169019,1.0265558827017174,1.5553387416396258,-0.42328606203836094,0.4718025056941991,0.5028456940503911,-0.01507262826832218,-0.18288374599606477,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5501928361,stage_60,1.1514269058053224,-0.43099605108832745,0.9911651354695289,1.0670602740278405,-1.242387457613348,1.3775967327267347,-1.2430846480780495,1.0634556500251244,-1.3766683708816234,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,1.3233756180739233,0.48835213793226256,0.676779002504754,0.9070626053501948,1.0491826102810826,-0.12465559603588287,1.406906571034053,0.9817463550507637,0.3533693960684421,-0.1467450416974408,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5503722817,stage_60,0.2168587553554961,-0.21908962343746644,0.2702163269486524,0.8042767737075515,-0.37925511863986416,0.7199375330163225,-0.38398949862096815,0.7995907143046048,-0.7188576018087753,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.01085226973182669,-0.09334882793169019,-1.4828029416802577,-0.19674017460148538,-0.9608209008428213,-0.276280746577684,-0.45495562795035394,0.13230418146638354,1.0819709044557742,0.0,0.9555330859059092,-0.08737040566610381,0,test
NA1_5503892992,stage_60,0.9690721447419416,-0.38952374755344044,0.8504166568609186,0.27870977306697325,-0.37925511863986416,0.39110793316111636,-0.38398949862096815,0.27186084286356565,-0.38995221727235124,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.8473931069410674,0.01085226973182669,0.676779002504754,0.5087516808451193,-0.5471559578497076,0.8010988485717991,1.0328649448981115,-0.3591754957502794,1.0902534447419707,-0.21902245029468875,0.0,-1.0465362369445672,-0.08737040566610381,1,train
NA1_5504901946,stage_60,-2.8213018173611863,-3.7044674616091355,0.4550132291804952,-0.24685722757360493,-0.95467667795552,0.39110793316111636,-0.9567195982590223,-0.25586902857747357,-0.38995221727235124,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-4.388414515520345,-4.286646544072092,-0.09334882793169019,-3.1557088246015743,-4.907885704938695,1.3983597805767551,-1.9594680641894209,-0.9338562889507265,-0.8256450818092037,-5.748244207984157,0.0,-1.0465362369445672,-0.08737040566610381,1,train
NA1_5504913691,stage_60,0.724847018317771,-0.8621943851017417,0.9818736711115033,0.27870977306697325,-0.95467667795552,0.7199375330163225,-0.9567195982590223,0.27186084286356565,-0.7188576018087753,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,2.2753406403396332,-0.4666475984686092,2.2170346633776417,0.9867247902512098,-0.39141560973938666,1.0400032213737815,2.7160522625098484,-0.1676152313501304,2.269267922619617,0.32305811418467084,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5504988007,stage_60,-0.3220646902871737,0.08201066250075437,-0.25389108850590364,-1.0352077285344723,-0.37925511863986416,-0.4309660664768989,-0.38398949862096815,-1.0474638357390322,0.4323112440687089,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.9658520061326984,-0.4784127431499122,0.707907143097657,0.8934422621707616,-0.1545186426361307,-0.4633015596456548,0.21550529745016764,-0.5308914623397922,0.21464200128879893,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5505392771,stage_60,0.6836001080772444,-0.7241427445678028,0.8720967403629784,0.27870977306697325,-0.37925511863986416,0.39110793316111636,-0.38398949862096815,0.27186084286356565,-0.38995221727235124,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.01085226973182669,-0.09334882793169019,0.4290894959441043,-0.39141560973938666,0.6219205689703123,0.19127128609224295,0.21550529745016764,-0.01507262826832218,0.106225888392927,0.0,-1.0465362369445672,-0.08737040566610381,1,test
NA1_5505688466,stage_60,-0.005657470942081588,-0.5116682031698885,0.30634979945208535,-0.509640727893894,-0.666965898297692,0.06227833330591025,-0.6703545484399952,-0.5197339642979931,-0.061046832735927196,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,0.3714105958082114,-0.4666475984686092,0.676779002504754,0.628244958196642,-0.11887000054632489,0.5621944757698167,1.2198857579660822,-1.3169768177510244,1.9745143031502053,-0.18288374599606477,0.0,0.9555330859059092,-0.08737040566610381,1,test
NA1_5505807973,stage_60,-0.816484890670328,1.6136453245563076,-1.4951619010762145,-0.7724242282141831,1.0592987796492754,-1.088625266187311,1.0478357504741673,-0.7835989000185127,1.090122013141557,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-1.5325194487232106,1.4433518743331344,-2.4037323192410223,-1.28364747942772,0.8545071751431813,-1.617807926048273,-0.8373431857815963,2.5142284702519557,-2.5941667986256722,0.5037516356777907,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5506369546,stage_60,0.9858965423400511,-0.9508201296420483,1.2010834042989964,1.3298437743481297,-1.5300982372711758,1.7064263325819409,-1.5294496978970766,1.327320585745644,-1.7055737554180475,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,1.7993581292067773,0.9658520061326984,0.676779002504754,1.4248668072067927,0.7766370010880209,0.4726053359690732,0.4718025056941991,1.2690867516509872,-0.6045798672071451,-0.0021902245029449155,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5506406712,stage_60,-0.21189202214471456,-0.637221341268656,0.25163339823260117,0.015926272746684175,-1.242387457613348,0.7199375330163225,-1.2430846480780495,0.00799590714304604,-0.7188576018087753,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,-0.10457191532464465,-0.4666475984686092,0.29171508728653184,-0.7260121851206144,0.6987668270328604,-1.0802730872438127,-0.276280746577684,-0.5507357601504285,0.2059925863337364,-0.21902245029468875,0.0,-1.0465362369445672,-0.08737040566610381,1,test
NA1_5506740589,stage_60,0.8654121466374602,-0.08842346161521966,0.602300145670679,1.3298437743481297,0.7715879999914476,0.39110793316111636,0.7614707006551402,1.327320585745644,-0.38995221727235124,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-0.5805544264575007,-0.9441474666690429,0.29171508728653184,-0.44719453796706166,-0.2746103486566459,-0.12465559603588287,-0.276280746577684,-1.5085370821511734,0.942876635007265,0.2507807055874229,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5506855091,stage_60,1.0173744475236108,0.29334897640456215,0.46740184832452936,0.27870977306697325,0.19616644067579173,0.06227833330591025,0.47510565083611317,0.27186084286356565,0.10340585953228484,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.01085226973182669,-0.09334882793169019,1.066386975152225,-0.04099982649116438,0.8309618951720469,0.19127128609224295,-0.07183509915005588,0.2059925863337364,-0.1467450416974408,0.0,-1.0465362369445672,-0.08737040566610381,1,train
NA1_5507690497,stage_60,1.0678476403179396,-0.6122243363983132,1.0479463065463521,0.5414932733872624,-0.666965898297692,0.7199375330163225,-0.6703545484399952,0.5357257785840852,-0.7188576018087753,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,0.3714105958082114,-0.4666475984686092,0.676779002504754,1.066386975152225,-0.7807664800151891,1.3983597805767551,0.09776087955825757,0.21550529745016764,-0.08876103313567504,-0.0021902245029449155,0.0,-1.0465362369445672,-0.08737040566610381,1,train
NA1_5507693490,stage_60,-0.6346728521101122,0.12291485228858813,-0.4768862330985184,-1.0352077285344723,-0.0915443389820362,-0.5953808664045019,-0.09762444880194103,-1.0474638357390322,0.5967639363369209,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.9658520061326984,-0.4784127431499122,0.7477382355481647,0.46515630486737886,0.20383791656684297,-0.4633015596456548,0.023945033050018626,-0.38351465260508655,-0.0021902245029449155,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5507709046,stage_60,-2.3681285272185586,-2.55744580630863,0.04756531066559409,-0.24685722757360493,-0.37925511863986416,0.06227833330591025,-0.38398949862096815,-0.25586902857747357,-0.061046832735927196,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-3.9124320043874885,-4.286646544072092,0.29171508728653184,-3.3946953793046197,-3.116871701670004,-0.1545186426361307,-2.520530503393333,-2.0832178753516204,-0.38351465260508655,-5.856660320880028,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5507776093,stage_60,-1.3890571315092168,1.8255517522071687,-1.9865771271229027,-1.2979912288547613,1.9224311186227594,-1.9106992658253263,1.9069308999312486,-1.3113287714595518,1.9123854744826172,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-1.5325194487232106,1.4433518743331344,-2.4037323192410223,-0.7260121851206144,1.5164036546120456,-1.7073970658490165,-0.6503223727136256,-0.45495562795035394,-0.1624494380030279,-0.18288374599606477,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5508008832,stage_60,-0.6911159924392538,0.589904352366357,-0.7955490477478414,-1.2979912288547613,0.19616644067579173,-0.924210466259708,0.18874060101708606,-1.3113287714595518,0.9256693208733451,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.3714105958082114,1.920851742533568,-1.2485405735863562,0.4689205883946118,0.8155720881156011,-0.2739708290371219,1.406906571034053,-0.5507357601504285,1.532383873946088,-0.21902245029468875,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5508254544,stage_60,-0.7920623780279109,-0.30828348172482617,-0.3154900559165179,-1.0352077285344723,-0.37925511863986416,-0.4309660664768989,-0.38398949862096815,-1.0474638357390322,0.4323112440687089,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.48835213793226256,-0.4784127431499122,0.3494273110430892,-0.6250261319048681,0.7413727553713035,-0.5568119661796401,0.5986258262504657,-0.8993334866765565,-0.07446763310019286,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5508365986,stage_60,0.4643402167986556,-1.02637925800013,0.9161451639862109,0.5414932733872624,-0.95467667795552,0.8843523329439256,-0.9567195982590223,0.5357257785840852,-0.8833102940769874,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.01085226973182669,0.29171508728653184,-0.2480390757145239,-0.15780508757390513,-0.06492950283538726,1.3133961645000676,0.21550529745016764,0.8691882301399122,-0.18288374599606477,0.0,0.9555330859059092,-0.08737040566610381,1,test
NA1_5508522507,stage_60,-0.8121431106450094,-0.1872752536024846,-0.40152213330564396,-1.2979912288547613,-0.95467667795552,-0.26655126654929584,-0.9567195982590223,-1.0474638357390322,0.10340585953228484,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.8473931069410674,1.4433518743331344,-0.4784127431499122,0.7477382355481647,0.8934422621707616,-0.12465559603588287,1.406906571034053,1.5564271482512106,-0.08876103313567504,0.6844451571709106,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5509241834,stage_60,0.9202271194571074,-0.24351851456075604,0.7310041334448116,0.27870977306697325,-0.0915443389820362,0.2266931332335133,-0.09762444880194103,0.27186084286356565,-0.22549952500413922,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,-0.10457191532464465,-0.4666475984686092,0.29171508728653184,0.9070626053501948,-0.11887000054632489,0.7712358019715513,2.154989823305936,-0.5507357601504285,2.121891112884911,-0.07446763310019286,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5509634103,stage_60,0.7834610486595719,-0.42190623113547554,0.7523400886373148,0.5414932733872624,-0.95467667795552,0.8843523329439256,-0.9567195982590223,0.5357257785840852,-0.8833102940769874,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,0.8473931069410674,-0.4666475984686092,1.0618429177229758,0.38925840349359675,1.127052784336243,-0.5726012950395999,0.9393545383641261,-1.029636421150801,1.532383873946088,0.5037516356777907,0.0,-1.0465362369445672,-0.08737040566610381,1,train
NA1_5509798911,stage_60,-0.8029168280912075,0.5632030062548544,-0.8502654489673256,-0.7724242282141831,1.0592987796492754,-1.088625266187311,1.0478357504741673,-0.7835989000185127,1.090122013141557,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-0.5805544264575007,0.01085226973182669,-0.4784127431499122,-0.2480390757145239,0.03687034756399611,-0.2142447358366263,-1.7724472511214502,-0.07183509915005588,-1.3414639158806736,0.033948479795679054,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5509809249,stage_60,-0.48216782872079667,0.0570136576304115,-0.34026729420458623,-1.0352077285344723,-0.37925511863986416,-0.4309660664768989,-0.38398949862096815,-1.0474638357390322,0.4323112440687089,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.01085226973182669,-0.09334882793169019,0.9070626053501948,0.5819615659501196,0.2337009631670908,0.6588233187621699,0.5986258262504657,0.05861577659903068,-0.18288374599606477,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5510042454,stage_60,0.06652462197883995,-0.6213141563511652,0.41853562836750574,0.015926272746684175,-0.95467667795552,0.5555227330887195,-0.9567195982590223,0.00799590714304604,-0.5544049095405633,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.01085226973182669,0.29171508728653184,0.7477382355481647,-0.2746103486566459,0.7712358019715513,-0.6503223727136256,0.6944059584505402,-1.0467102964112622,0.14236459269155097,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5510245552,stage_60,0.29663896332072515,0.6688721632067582,-0.2170693593833577,-0.24685722757360493,1.3470095593071034,-0.924210466259708,1.3342008002931944,-0.25586902857747357,0.9256693208733451,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,-0.10457191532464465,0.48835213793226256,-0.4784127431499122,1.2655424374047626,0.38728613081221835,0.6517836155705601,-0.8373431857815963,-0.5507357601504285,-0.23613784287038078,1.443357947442014,0.0,0.9555330859059092,-0.08737040566610381,0,train
NA1_5510260867,stage_60,-0.8381937907969209,0.4796902854380271,-0.8220469275836922,-1.2979912288547613,0.19616644067579173,-0.924210466259708,0.18874060101708606,-1.3113287714595518,0.9256693208733451,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.48835213793226256,-0.09334882793169019,0.6680760506471495,1.3217282194741444,-0.5128752018391043,0.4718025056941991,0.5986258262504657,-0.08876103313567504,0.32305811418467084,0.0,-1.0465362369445672,-0.08737040566610381,0,test
NA1_5510286304,stage_60,0.8572713090899879,0.24846799038735567,0.39307013346032443,0.5414932733872624,-0.0915443389820362,0.39110793316111636,-0.09762444880194103,0.5357257785840852,-0.38995221727235124,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,1.3233756180739233,0.01085226973182669,1.0618429177229758,1.066386975152225,0.7377019140604406,0.2337009631670908,0.6588233187621699,-0.7422960245505774,1.0902534447419707,-0.21902245029468875,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5510325798,stage_60,-1.8302905265822185,-2.3421306961754498,0.2581718361141747,0.27870977306697325,-0.95467667795552,0.7199375330163225,-0.9567195982590223,0.27186084286356565,-0.7188576018087753,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-2.0085019598560665,-2.8541469394707866,0.676779002504754,-2.5582424378439614,-1.5205331335392138,-0.7517795746410867,-1.2113848119175379,-2.1789980075516953,0.7218114204052064,-2.8571478640942387,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5510334415,stage_60,0.29989529833971407,1.0830270848085752,-0.46587412719271026,0.5414932733872624,1.0592987796492754,-0.26655126654929584,1.0478357504741673,0.5357257785840852,0.2678585518004969,-0.08737040566610381,11.445523142259598,-8.12403840463596,-0.5773502691896258,-0.8583950752789522,0.21714546414390237,0,0,0,0,0,0,0,0,0,-0.5805544264575007,-0.4666475984686092,-0.09334882793169019,-0.8853365549226446,0.5819615659501196,-1.1101361338440603,-0.4633015596456548,-1.795877478751397,1.0165650398746178,0.4314742270805427,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5510413327,stage_60,-1.2919098034427134,0.34163864490408813,-1.0261150151506993,-1.5607747291750504,-0.37925511863986416,-0.7597956663321049,-0.38398949862096815,-1.5751937071800715,0.761216628605133,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.9658520061326984,-0.4784127431499122,-0.2480390757145239,0.46515630486737886,-0.542738248439352,-0.276280746577684,0.9817463550507637,-0.9730218915439094,-0.25516115459331273,0.0,-1.0465362369445672,-0.08737040566610381,0,train
NA1_5510462697,stage_60,1.3511487869699774,-1.2229466144805534,1.5975192169080894,1.3298437743481297,-1.242387457613348,1.5420115326543378,-1.2430846480780495,1.327320585745644,-1.5411210631498355,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,1.3233756180739233,0.01085226973182669,1.0618429177229758,2.0621642864149137,-0.7418313929876089,2.1150728989827026,0.09776087955825757,0.40706556185031667,-0.23613784287038078,-0.07446763310019286,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5510773961,stage_60,1.1329743406977182,-0.6241547250864313,1.0964683981938192,0.5414932733872624,-0.37925511863986416,0.5555227330887195,-0.38398949862096815,0.5357257785840852,-0.5544049095405633,-0.08737040566610381,-0.08737040566610381,0.0,1.7320508075688774,-0.8583950752789522,1.4633716061871682,0,0,0,0,0,0,0,0,0,0.3714105958082114,-0.9441474666690429,1.0618429177229758,1.3053735298552702,0.11474052161915661,0.8906879883725426,0.004250473024272184,-1.7000973465513225,1.3113186593440294,-0.25516115459331273,0.0,0.9555330859059092,-0.08737040566610381,1,train
NA1_5510880733,stage_60,0.8974327743241849,0.004179079154459555,0.5665108014768026,0.27870977306697325,0.19616644067579173,0.06227833330591025,0.18874060101708606,0.27186084286356565,-0.061046832735927196,-0.08737040566610381,-0.08737040566610381,0.0,-0.5773502691896258,1.1649647450214349,-1.0290806778993633,0,0,0,0,0,0,0,0,0,0.3714105958082114,0.01085226973182669,0.29171508728653184,1.0265558827017174,-0.7418313929876089,1.3386336873762597,0.4718025056941991,-1.3169768177510244,1.3850070642113823,0.07008718409430303,0.0,0.9555330859059092,-0.08737040566610381,1,train
